,UID,日期,产品代码,产品名称,单位净值,累计净值,来源文件
0,2024-01-15_SXT459,2024-01-15,SXT459,量宇波量子A1私募证券投资基金,1.0058,1.0058,email_FOF\20240115_量宇波量子A1私募证券投资基金_轩克科技(上海)有限公司_TA虚拟计提后净值表.xlsx
1,2024-01-16_SXT459,2024-01-16,SXT459,量宇波量子A1私募证券投资基金,1.0026,1.0026,email_FOF\20240116_量宇波量子A1私募证券投资基金_轩克科技(上海)有限公司_TA虚拟计提后净值表.xlsx
2,2024-01-17_SXT459,2024-01-17,SXT459,量宇波量子A1私募证券投资基金,0.9978,0.9978,email_FOF\20240117_量宇波量子A1私募证券投资基金_轩克科技(上海)有限公司_TA虚拟计提后净值表.xlsx
3,2024-01-18_SZM630,2024-01-18,SZM630,正定进取CTA4号私募证券投资基金,1.2088,1.2088,email_FOF\20240118_正定进取CTA4号私募证券投资基金_波克稳健多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
4,2024-01-18_SXT459,2024-01-18,SXT459,量宇波量子A1私募证券投资基金,1.0049,1.0049,email_FOF\20240118_量宇波量子A1私募证券投资基金_轩克科技(上海)有限公司_TA虚拟计提后净值表.xlsx
5,2024-01-19_XY5868,2024-01-19,XY5868,璞远丰利纯债聚配专享私募证券投资基金,1.48,1.6557,email_FOF\20240119_(XY5868)璞远丰利纯债聚配专享私募证券投资基金_证券投资基金估值表.xls
6,2024-01-19_SC274A,2024-01-19,SC274A,世纪前沿指数增强16号私募证券投资基金A,0.9337,0.9337,email_FOF\20240119_世纪前沿指数增强16号私募证券投资基金A_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
7,2024-01-19_SGR125,2024-01-19,SGR125,九章量化定制24号私募证券投资基金,1.1822,1.2174,email_FOF\20240119_九章量化定制24号私募证券投资基金_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
8,2024-01-19_ZW449B,2024-01-19,ZW449B,乾象招盈量化对冲15号私募证券投资基金B,1.0405,1.0927,email_FOF\20240119_乾象招盈量化对冲15号私募证券投资基金B_TA虚拟计提后净值明细表.xlsx
9,2024-01-19_ZW449B,2024-01-19,ZW449B,乾象招盈量化对冲15号私募证券投资基金B,1.0405,1.0927,email_FOF\20240119_乾象招盈量化对冲15号私募证券投资基金B_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
10,2024-01-19_VL333B,2024-01-19,VL333B,仲阳金石长河私募证券投资基金B,1.1023,1.1023,email_FOF\20240119_仲阳金石长河私募证券投资基金B_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
11,2024-01-19_SQC600,2024-01-19,SQC600,会世元启CTA11号私募证券投资基金,1.0985,1.0985,email_FOF\20240119_会世元启CTA11号私募证券投资基金_赛韵网络科技(上海)有限公司_TA虚拟计提后净值表.xlsx
12,2024-01-19_SNX515,2024-01-19,SNX515,会世元启优孚CTA6号私募证券投资基金,1.0874,1.0874,email_FOF\20240119_会世元启优孚CTA6号私募证券投资基金_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
13,2024-01-19_SZM150,2024-01-19,SZM150,信弘对冲25号私募证券投资基金,1.1413,1.1413,email_FOF\20240119_信弘对冲25号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
14,2024-01-19_SSB059,2024-01-19,SSB059,信弘征程对冲1号私募证券投资基金,1.4683,1.4683,email_FOF\20240119_信弘征程对冲1号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
15,2024-01-19_B2050A,2024-01-19,B2050A,南京长木常青1号私募证券投资基金A,1.0039,1.2768,email_FOF\20240119_南京长木常青1号私募证券投资基金A_TA虚拟计提后净值明细表.xlsx
16,2024-01-19_B2050A,2024-01-19,B2050A,南京长木常青1号私募证券投资基金A,1.0039,1.2768,email_FOF\20240119_南京长木常青1号私募证券投资基金A_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
17,2024-01-19_SVJ513,2024-01-19,SVJ513,固禾翡翠专享8号私募证券投资基金,0.9474,0.9474,email_FOF\20240119_固禾翡翠专享8号私募证券投资基金_赛韵网络科技(上海)有限公司_TA虚拟计提后净值表.xlsx
18,2024-01-19_SSW933,2024-01-19,SSW933,念觉优恒12号私募证券投资基金,1.1043,1.1043,email_FOF\20240119_念觉优恒12号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
19,2024-01-19_SCJ566,2024-01-19,SCJ566,无隅磐石一号私募投资基金,1.0076,1.2996,email_FOF\20240119_无隅磐石一号私募投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
20,2024-01-19_SCJ566,2024-01-19,SCJ566,无隅磐石一号私募投资基金,1.0076,1.2996,email_FOF\20240119_无隅磐石一号私募投资基金_波克稳健多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
21,2024-01-19_SSY355,2024-01-19,SSY355,无隅鲲鹏六号私募证券投资基金,0.8526,0.8526,email_FOF\20240119_无隅鲲鹏六号私募证券投资基金_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
22,2024-01-19_SQQ803,2024-01-19,SQQ803,概率1000指增1号私募证券投资基金,0.9142,1.2861,email_FOF\20240119_概率1000指增1号私募证券投资基金_赛韵网络科技(上海)有限公司_TA虚拟计提后净值表.xlsx
23,2024-01-19_SZM630,2024-01-19,SZM630,正定进取CTA4号私募证券投资基金,1.2043,1.2043,email_FOF\20240119_正定进取CTA4号私募证券投资基金_波克稳健多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
24,2024-01-19_SS8256,2024-01-19,SS8256,知行稳健1号私募投资基金,1.5374,1.5374,email_FOF\20240119_知行稳健1号私募投资基金_轩克科技（上海）有限公司_TA虚拟计提后净值表.xlsx
25,2024-01-19_NV133B,2024-01-19,NV133B,蝶威基本面量化1号私募证券投资基金B,1.3997,1.4497,email_FOF\20240119_蝶威基本面量化1号私募证券投资基金B_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
26,2024-01-19_SLZ047,2024-01-19,SLZ047,衍复希格斯三号私募证券投资基金,1.2925,1.4475,email_FOF\20240119_衍复希格斯三号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
27,2024-01-19_SLZ047,2024-01-19,SLZ047,衍复希格斯三号私募证券投资基金,1.2925,1.4475,email_FOF\20240119_衍复希格斯三号私募证券投资基金_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
28,2024-01-19_SLP548,2024-01-19,SLP548,衍复希格斯二号私募证券投资基金,1.3397,1.3952,email_FOF\20240119_衍复希格斯二号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
29,2024-01-19_SLP548,2024-01-19,SLP548,衍复希格斯二号私募证券投资基金,1.3397,1.3952,email_FOF\20240119_衍复希格斯二号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
30,2024-01-19_SABD47,2024-01-19,SABD47,衍复希格斯五号私募证券投资基金,1.0321,1.0321,email_FOF\20240119_衍复希格斯五号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
31,2024-01-19_SABD48,2024-01-19,SABD48,衍复希格斯六号私募证券投资基金,1.0359,1.0359,email_FOF\20240119_衍复希格斯六号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
32,2024-01-19_SABD46,2024-01-19,SABD46,衍复希格斯四号私募证券投资基金,1.0408,1.0408,email_FOF\20240119_衍复希格斯四号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
33,2024-01-19_SABD46,2024-01-19,SABD46,衍复希格斯四号私募证券投资基金,1.0408,1.0408,email_FOF\20240119_衍复希格斯四号私募证券投资基金_波克多策略2号私募证券投资基金_TA虚拟计提后净值表.xlsx
34,2024-01-19_ZW306A,2024-01-19,ZW306A,超量子量化中性1号私募证券投资基金A,1.0765,1.0765,email_FOF\20240119_超量子量化中性1号私募证券投资基金A_TA虚拟计提后净值明细表.xlsx
35,2024-01-19_ZW306A,2024-01-19,ZW306A,超量子量化中性1号私募证券投资基金A,1.0765,1.0765,email_FOF\20240119_超量子量化中性1号私募证券投资基金A_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
36,2024-01-19_STR637,2024-01-19,STR637,远信中国价值成长12号私募证券投资基金9期,0.9473,0.9473,email_FOF\20240119_远信中国价值成长12号私募证券投资基金9期_波克科技集团有限公司_TA虚拟计提后净值表.xlsx
37,2024-01-19_SXT459,2024-01-19,SXT459,量宇波量子A1私募证券投资基金,1.0009,1.0009,email_FOF\20240119_量宇波量子A1私募证券投资基金_轩克科技(上海)有限公司_TA虚拟计提后净值表.xlsx
38,2024-01-19_NZ614A,2024-01-19,NZ614A,量派对冲17号私募证券投资基金A,1.1992,1.1992,email_FOF\20240119_量派对冲17号私募证券投资基金A_波克稳健多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
39,2024-01-19_JV577A,2024-01-19,JV577A,锋滔星剑CTA一号私募证券投资基金A,1.0007,1.0007,email_FOF\20240119_锋滔星剑CTA一号私募证券投资基金A_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
40,2024-01-19_VV342A,2024-01-19,VV342A,锋滔鑫起点对冲8号私募证券投资基金A,1.1407,1.1407,email_FOF\20240119_锋滔鑫起点对冲8号私募证券投资基金A_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
41,2024-01-19_ZY015A,2024-01-19,ZY015A,锦徽中证500指数增强1号私募证券投资基金A,0.947,0.947,email_FOF\20240119_锦徽中证500指数增强1号私募证券投资基金A_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
42,2024-01-19_SA143A,2024-01-19,SA143A,顽岩中证500指数增强1号私募证券投资基金A,1.145,1.2405,email_FOF\20240119_顽岩中证500指数增强1号私募证券投资基金A_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
43,2024-01-19_STE790,2024-01-19,STE790,顽岩中证500指数增强3号私募证券投资基金,0.9717,1.0515,email_FOF\20240119_顽岩中证500指数增强3号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
44,2024-01-19_STE790,2024-01-19,STE790,顽岩中证500指数增强3号私募证券投资基金,0.9717,1.0515,email_FOF\20240119_顽岩中证500指数增强3号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
45,2024-01-19_ZS158A,2024-01-19,ZS158A,鸣熙1000指数增强1号私募证券投资基金A,0.9006,0.9006,email_FOF\20240119_鸣熙1000指数增强1号私募证券投资基金A_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
46,2024-01-19_SB5026,2024-01-19,SB5026,鸣熙绝对收益尊享1号私募证券投资基金,0.9937,0.9937,email_FOF\20240119_鸣熙绝对收益尊享1号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
47,2024-01-19_SU488B,2024-01-19,SU488B,黑翼CTA-T21私募证券投资基金B,1.1881,1.1881,email_FOF\20240119_黑翼CTA-T21私募证券投资基金B_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
48,2024-01-22_SC274A,2024-01-22,SC274A,世纪前沿指数增强16号私募证券投资基金A,0.8872,0.8872,email_FOF\20240122_世纪前沿指数增强16号私募证券投资基金A_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
49,2024-01-22_SGR125,2024-01-22,SGR125,九章量化定制24号私募证券投资基金,1.1302,1.1654,email_FOF\20240122_九章量化定制24号私募证券投资基金_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
50,2024-01-22_ZW449B,2024-01-22,ZW449B,乾象招盈量化对冲15号私募证券投资基金B,1.0554,1.1076,email_FOF\20240122_乾象招盈量化对冲15号私募证券投资基金B_TA虚拟计提后净值明细表.xlsx
51,2024-01-22_ZW449B,2024-01-22,ZW449B,乾象招盈量化对冲15号私募证券投资基金B,1.0554,1.1076,email_FOF\20240122_乾象招盈量化对冲15号私募证券投资基金B_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
52,2024-01-22_VL333B,2024-01-22,VL333B,仲阳金石长河私募证券投资基金B,1.1152,1.1152,email_FOF\20240122_仲阳金石长河私募证券投资基金B_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
53,2024-01-22_SQC600,2024-01-22,SQC600,会世元启CTA11号私募证券投资基金,1.1018,1.1018,email_FOF\20240122_会世元启CTA11号私募证券投资基金_赛韵网络科技(上海)有限公司_TA虚拟计提后净值表.xlsx
54,2024-01-22_SNX515,2024-01-22,SNX515,会世元启优孚CTA6号私募证券投资基金,1.0857,1.0857,email_FOF\20240122_会世元启优孚CTA6号私募证券投资基金_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
55,2024-01-22_SZM150,2024-01-22,SZM150,信弘对冲25号私募证券投资基金,1.1426,1.1426,email_FOF\20240122_信弘对冲25号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
56,2024-01-22_SSB059,2024-01-22,SSB059,信弘征程对冲1号私募证券投资基金,1.4671,1.4671,email_FOF\20240122_信弘征程对冲1号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
57,2024-01-22_B2050A,2024-01-22,B2050A,南京长木常青1号私募证券投资基金A,0.991,1.2639,email_FOF\20240122_南京长木常青1号私募证券投资基金A_TA虚拟计提后净值明细表.xlsx
58,2024-01-22_B2050A,2024-01-22,B2050A,南京长木常青1号私募证券投资基金A,0.991,1.2639,email_FOF\20240122_南京长木常青1号私募证券投资基金A_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
59,2024-01-22_SVJ513,2024-01-22,SVJ513,固禾翡翠专享8号私募证券投资基金,0.9476,0.9476,email_FOF\20240122_固禾翡翠专享8号私募证券投资基金_赛韵网络科技(上海)有限公司_TA虚拟计提后净值表.xlsx
60,2024-01-22_SSW933,2024-01-22,SSW933,念觉优恒12号私募证券投资基金,1.103,1.103,email_FOF\20240122_念觉优恒12号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
61,2024-01-22_SCJ566,2024-01-22,SCJ566,无隅磐石一号私募投资基金,1.0172,1.3092,email_FOF\20240122_无隅磐石一号私募投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
62,2024-01-22_SCJ566,2024-01-22,SCJ566,无隅磐石一号私募投资基金,1.0172,1.3092,email_FOF\20240122_无隅磐石一号私募投资基金_波克稳健多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
63,2024-01-22_SSY355,2024-01-22,SSY355,无隅鲲鹏六号私募证券投资基金,0.8106,0.8106,email_FOF\20240122_无隅鲲鹏六号私募证券投资基金_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
64,2024-01-22_SQQ803,2024-01-22,SQQ803,概率1000指增1号私募证券投资基金,0.8601,1.232,email_FOF\20240122_概率1000指增1号私募证券投资基金_赛韵网络科技(上海)有限公司_TA虚拟计提后净值表.xlsx
65,2024-01-22_SZM630,2024-01-22,SZM630,正定进取CTA4号私募证券投资基金,1.2082,1.2082,email_FOF\20240122_正定进取CTA4号私募证券投资基金_波克稳健多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
66,2024-01-22_SS8256,2024-01-22,SS8256,知行稳健1号私募投资基金,1.5376,1.5376,email_FOF\20240122_知行稳健1号私募投资基金_轩克科技（上海）有限公司_TA虚拟计提后净值表.xlsx
67,2024-01-22_NV133B,2024-01-22,NV133B,蝶威基本面量化1号私募证券投资基金B,1.3376,1.3876,email_FOF\20240122_蝶威基本面量化1号私募证券投资基金B_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
68,2024-01-22_SLZ047,2024-01-22,SLZ047,衍复希格斯三号私募证券投资基金,1.227,1.382,email_FOF\20240122_衍复希格斯三号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
69,2024-01-22_SLZ047,2024-01-22,SLZ047,衍复希格斯三号私募证券投资基金,1.227,1.382,email_FOF\20240122_衍复希格斯三号私募证券投资基金_波克锐进多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
70,2024-01-22_SLP548,2024-01-22,SLP548,衍复希格斯二号私募证券投资基金,1.3404,1.3959,email_FOF\20240122_衍复希格斯二号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
71,2024-01-22_SLP548,2024-01-22,SLP548,衍复希格斯二号私募证券投资基金,1.3404,1.3959,email_FOF\20240122_衍复希格斯二号私募证券投资基金_波克平衡多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
72,2024-01-22_SABD47,2024-01-22,SABD47,衍复希格斯五号私募证券投资基金,1.048,1.048,email_FOF\20240122_衍复希格斯五号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
73,2024-01-22_SABD48,2024-01-22,SABD48,衍复希格斯六号私募证券投资基金,1.0523,1.0523,email_FOF\20240122_衍复希格斯六号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
74,2024-01-22_SABD46,2024-01-22,SABD46,衍复希格斯四号私募证券投资基金,1.0564,1.0564,email_FOF\20240122_衍复希格斯四号私募证券投资基金_波克多策略1号私募证券投资基金_TA虚拟计提后净值表.xlsx
75,2024-01-22_SABD46,2024-01-22,SABD46,衍复希格斯四号私募证券投资基金,1.0564,1.0564,email_FOF\20240122_衍复希格斯四号私募证券投资基金_波克多策略2号私募证券投资基金_TA虚拟计提后净值表.xlsx
76,2024-01-22_ZW306A,2024-01-22,ZW306A,超量子量化中性1号私募证券投资基金A,1.0801,1.0801,email_FOF\20240122_超量子量化中性1号私募证券投资基金A_TA虚拟计提后净值明细表.xlsx
