UID,日期,产品代码,产品名称,单位净值,累计净值,来源文件
2024-01-29_SB5550,2024-01-29,SB5550,天算中证500指数增强3号私募证券投资基金,0.9313,0.9313,C:\Invest\净值存储\citics_【基金净值表现估算】SB5550_天算中证500指数增强3号私募证券投资基金_2024-01-29_波克锐进多策略1号私募证券投资基金.xlsx
2024-01-30_SB5550,2024-01-30,SB5550,天算中证500指数增强3号私募证券投资基金,0.9071,0.9071,C:\Invest\净值存储\citics_【基金净值表现估算】SB5550_天算中证500指数增强3号私募证券投资基金_2024-01-30_波克锐进多策略1号私募证券投资基金.xlsx
2024-01-31_SB5550,2024-01-31,SB5550,天算中证500指数增强3号私募证券投资基金,0.8762,0.8762,C:\Invest\净值存储\citics_【基金净值表现估算】SB5550_天算中证500指数增强3号私募证券投资基金_2024-01-31_波克锐进多策略1号私募证券投资基金.xlsx
2024-02-01_SB5550,2024-02-01,SB5550,天算中证500指数增强3号私募证券投资基金,0.8646,0.8646,C:\Invest\净值存储\citics_【基金净值表现估算】SB5550_天算中证500指数增强3号私募证券投资基金_2024-02-01_波克锐进多策略1号私募证券投资基金.xlsx
2024-02-02_SB5550,2024-02-02,SB5550,天算中证500指数增强3号私募证券投资基金,0.835,0.835,C:\Invest\净值存储\citics_【基金净值表现估算】SB5550_天算中证500指数增强3号私募证券投资基金_2024-02-02_波克锐进多策略1号私募证券投资基金.xlsx
2024-02-05_SB5550,2024-02-05,SB5550,天算中证500指数增强3号私募证券投资基金,0.794,0.794,C:\Invest\净值存储\citics_【基金净值表现估算】SB5550_天算中证500指数增强3号私募证券投资基金_2024-02-05_波克锐进多策略1号私募证券投资基金.xlsx
2024-02-02_SJF673,2024-02-02,SJF673,华钧真观1期私募证券投资基金,0.7242,1.1442,C:\Invest\净值存储\citics_【基金净值表现估算】SJF673_华钧真观1期私募证券投资基金_2024-02-02.xlsx
2024-01-29_SQR793,2024-01-29,SQR793,皓邦激享CTA1号私募证券投资基金,0.9786,0.9786,C:\Invest\净值存储\citics_【基金净值表现估算】SQR793(平层)_皓邦激享CTA1号私募证券投资基金_2024-01-29_赛韵网络科技(上海)有限公司.xlsx
2024-01-30_SQR793,2024-01-30,SQR793,皓邦激享CTA1号私募证券投资基金,0.9763,0.9763,C:\Invest\净值存储\citics_【基金净值表现估算】SQR793(平层)_皓邦激享CTA1号私募证券投资基金_2024-01-30_赛韵网络科技(上海)有限公司.xlsx
2024-01-31_SQR793,2024-01-31,SQR793,皓邦激享CTA1号私募证券投资基金,0.9749,0.9749,C:\Invest\净值存储\citics_【基金净值表现估算】SQR793(平层)_皓邦激享CTA1号私募证券投资基金_2024-01-31_赛韵网络科技(上海)有限公司.xlsx
2024-02-01_SQR793,2024-02-01,SQR793,皓邦激享CTA1号私募证券投资基金,0.9724,0.9724,C:\Invest\净值存储\citics_【基金净值表现估算】SQR793(平层)_皓邦激享CTA1号私募证券投资基金_2024-02-01_赛韵网络科技(上海)有限公司.xlsx
2024-02-02_SQR793,2024-02-02,SQR793,皓邦激享CTA1号私募证券投资基金,0.9664,0.9664,C:\Invest\净值存储\citics_【基金净值表现估算】SQR793(平层)_皓邦激享CTA1号私募证券投资基金_2024-02-02_赛韵网络科技(上海)有限公司.xlsx
2024-02-05_SQR793,2024-02-05,SQR793,皓邦激享CTA1号私募证券投资基金,0.9674,0.9674,C:\Invest\净值存储\citics_【基金净值表现估算】SQR793(平层)_皓邦激享CTA1号私募证券投资基金_2024-02-05_赛韵网络科技(上海)有限公司.xlsx
2024-01-29_SSF240,2024-01-29,SSF240,锋滔指数增强2号私募证券投资基金,0.9411,1.0211,C:\Invest\净值存储\citics_【基金净值表现估算】SSF240(A级)_锋滔指数增强2号私募证券投资基金_2024-01-29_波克锐进多策略1号私募证券投资基金.xlsx
